Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_VALU,SQ_INSTS_SALU,FETCH_SIZE,WRITE_SIZE
3828,"genfock::HIP_GPU::GPU_kernel_1_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2738,122848,122848,422400,256,13824,0,56,72,49088,0x0,0x7f8b6a03ec00,64527439,11922932,25204.8750000000,10424.9375000000
3829,"genfock::HIP_GPU::GPU_kernel_1_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2740,122848,122848,337920,256,13824,0,56,72,49088,0x0,0x7f8b6a03ec00,50609164,9284492,22775.5625000000,10329.0937500000
3830,"genfock::HIP_GPU::GPU_kernel_1_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2742,122848,122848,337920,256,13824,0,56,72,49088,0x0,0x7f8b6a03ec00,47333067,8677167,16656.6250000000,5421.8750000000
3831,"genfock::HIP_GPU::GPU_kernel_1_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2744,122848,122848,337920,256,13824,0,56,72,49088,0x0,0x7f8b6a03ec00,23198266,4171116,11354.2500000000,376.9062500000
3832,"genfock::HIP_GPU::GPU_kernel_1_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2746,122848,122848,577280,256,13824,0,56,72,49088,0x0,0x7f8b6a03ec00,87894214,16255836,32857.3750000000,13447.9062500000
3833,"genfock::HIP_GPU::GPU_kernel_1_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2748,122848,122848,461824,256,13824,0,56,72,49088,0x0,0x7f8b6a03ec00,68703144,12627836,28623.2500000000,11905.0937500000
3834,"genfock::HIP_GPU::GPU_kernel_1_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2750,122848,122848,461824,256,13824,0,56,72,49088,0x0,0x7f8b6a03ec00,24894687,4472293,11988.2500000000,386.9062500000
3835,"genfock::HIP_GPU::GPU_kernel_1_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2752,122848,122848,650240,256,13824,0,56,72,49088,0x0,0x7f8b6a03ec00,98812637,18286813,36489.3125000000,15514.0000000000
3836,"genfock::HIP_GPU::GPU_kernel_1_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2754,122848,122848,520192,256,13824,0,56,72,49088,0x0,0x7f8b6a03ec00,76578213,14118921,24795.4375000000,7125.5000000000
3837,"genfock::HIP_GPU::GPU_kernel_1_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2756,122848,122848,680960,256,13824,0,56,72,49088,0x0,0x7f8b6a03ec00,103124834,19103430,37130.3125000000,15123.5625000000
3838,"genfock::HIP_GPU::GPU_kernel_0_0_0_0_equal(unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int) [clone .kd]",0,0,2758,122848,122848,1346560,256,11264,0,24,56,43264,0x0,0x7f8b6a03ebc0,138550132,30867722,13464.0000000000,5613.6875000000
3839,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2760,122848,122848,1077248,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,108613706,23546842,10939.8750000000,4332.2812500000
3840,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2762,122848,122848,1077248,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,108042656,23506632,9913.1250000000,4293.1562500000
3841,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2764,122848,122848,1077248,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,117294834,25369830,10669.2500000000,4847.5937500000
3842,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2766,122848,122848,1077248,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,134281130,28990742,11192.6250000000,4227.5937500000
3843,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2768,122848,122848,1346560,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,151447664,32656352,11670.0000000000,4924.3437500000
3844,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2770,122848,122848,1346560,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,156931369,33754571,11716.5000000000,4931.7812500000
3845,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2772,122848,122848,1346560,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,133428915,28669647,11722.6875000000,4980.7812500000
3846,"genfock::HIP_GPU::GPU_kernel_0_0_0_0_equal(unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int) [clone .kd]",0,0,2774,122848,122848,799744,256,11264,0,24,56,43264,0x0,0x7f8b6a03ebc0,80649334,17856028,18633.5625000000,9502.7812500000
3847,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2776,122848,122848,799744,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,80990963,17508088,12620.1875000000,7260.3750000000
3848,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2778,122848,122848,799744,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,87803652,18888422,14440.3125000000,8759.2187500000
3849,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2780,122848,122848,799744,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,100513870,21584026,15329.4375000000,7494.5625000000
3850,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2782,122848,122848,999680,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,107746484,23126570,15671.0625000000,7692.2500000000
3851,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2784,122848,122848,999680,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,55533256,11750622,13099.8125000000,3884.6875000000
3852,"genfock::HIP_GPU::GPU_kernel_0_0_0_0_equal(unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int) [clone .kd]",0,0,2786,122848,122848,788480,256,11264,0,24,56,43264,0x0,0x7f8b6a03ebc0,80329955,17743972,20119.9375000000,13917.3437500000
3853,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2788,122848,122848,788480,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,87642060,18688560,17508.5625000000,12101.7812500000
3854,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2790,122848,122848,788480,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,84076832,17865646,15281.0625000000,5458.7187500000
3855,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2792,122848,122848,985600,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,38510569,8050765,10655.3750000000,434.4062500000
3856,"genfock::HIP_GPU::GPU_kernel_0_0_0_0_equal(unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int) [clone .kd]",0,0,2794,122848,122848,905216,256,11264,0,24,56,43264,0x0,0x7f8b6a03ebc0,99589178,21979399,32388.8750000000,24018.3437500000
3857,"genfock::HIP_GPU::GPU_kernel_0_0_0_0(double, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, unsigned int, double const*, double*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, double) [clone .kd]",0,0,2796,122848,122848,905216,256,11776,0,36,64,40512,0x0,0x7f8b6a03eb80,40069960,8408787,11169.8750000000,462.3437500000
3858,"GPU_Corr_F(double*, unsigned int*, unsigned int, unsigned int) [clone .kd]",0,0,2797,122848,122848,562688,256,512,0,32,32,24768,0x0,0x7f8b6a03ea00,908068,265634,11782.3125000000,27282.8437500000
3859,"__amd_rocclr_fillBufferAligned.kd",0,0,2799,122848,122848,1102592,256,0,0,4,32,4032,0x0,0x7f8ca6640c00,327318,241181,11.6250000000,4519.6250000000
